ticker,adv_shares,last_price,slip_500_pct,vs_flat_500,slip_1k_pct,vs_flat_1k,slip_5k_pct,vs_flat_5k
KXIN,18368.95,6.2878,4.93,4.73,5.597,5.397,10.0,9.8
KYTX,596067.15,10.2,2.093,1.893,1.585,1.385,1.821,1.621
LASE,1869906.35,1.0826,2.429,2.229,2.061,1.861,2.884,2.684
LGVN,858749.45,1.09,2.796,2.596,2.579,2.379,4.043,3.843
LHSW,1016706.0,0.2048,4.057,3.857,4.363,4.163,8.032,7.832
LIDR,1032084.6,1.7684,2.468,2.268,2.115,1.915,3.006,2.806
LIMN,7041243.25,0.2134,2.552,2.352,2.235,2.035,3.273,3.073
LNAI,23057598.85,0.3325,2.044,1.844,1.516,1.316,1.666,1.466
LNKS,128859375.5,2.0156,1.709,1.509,1.042,0.842,0.607,0.407
LNZA,44187.35,23.5,2.737,2.537,2.497,2.297,3.859,3.659
LRHC,7349264.5,2.75,1.883,1.683,1.288,1.088,1.156,0.956
LSTA,97134.65,3.3864,3.589,3.389,3.702,3.502,6.554,6.354
LTRN,1559399.55,2.38,2.206,2.006,1.745,1.545,2.178,1.978
LUNR,16200134.15,27.4,1.693,1.493,1.02,0.82,0.557,0.357
LWLG,6694799.0,12.32,1.763,1.563,1.119,0.919,0.778,0.578
MAMO,2278218.25,1.17,2.308,2.108,1.89,1.69,2.501,2.301
MASK,7327471.7,1.68,1.951,1.751,1.384,1.184,1.372,1.172
MAXN,5451510.95,1.58,2.012,1.812,1.471,1.271,1.566,1.366
MDAI,595357.05,1.88,2.697,2.497,2.44,2.24,3.731,3.531
MDCX,6914654.7,0.3264,2.384,2.184,1.997,1.797,2.742,2.542
MEHA,2716503.05,0.1224,3.579,3.379,3.687,3.487,6.52,6.32
MGRX,16910469.1,0.4368,2.051,1.851,1.527,1.327,1.69,1.49
MIGI,1321583.5,6.83,2.003,1.803,1.458,1.258,1.537,1.337
MIMI,19943809.5,0.3196,2.083,1.883,1.571,1.371,1.789,1.589
MIST,3052293.95,2.09,2.087,1.887,1.577,1.377,1.802,1.602
MKDW,464707.75,7.87,2.21,2.01,1.751,1.551,2.191,1.991
MLEC,544741.5,7.28,2.201,2.001,1.739,1.539,2.164,1.964
MLTX,1183621.5,18.3,1.88,1.68,1.285,1.085,1.149,0.949
MNDR,147366.65,0.8345,4.828,4.628,5.454,5.254,10.0,9.8
MNTS,3102869.55,7.29,1.87,1.67,1.27,1.07,1.116,0.916
MOBX,9018141.05,2.59,1.871,1.671,1.272,1.072,1.121,0.921
MOS,8062953.15,24.49,1.72,1.52,1.058,0.858,0.641,0.441
MRNO,332384.6,0.4451,4.549,4.349,5.059,4.859,9.588,9.388
MTEN,24448.7,1.2804,7.959,7.759,9.882,9.682,10.0,9.8
MVIS,3186631.85,0.6497,2.417,2.217,2.044,1.844,2.846,2.646
MYSE,17265776.7,3.46,1.781,1.581,1.144,0.944,0.835,0.635
NAKA,3887712.0,0.2561,2.76,2.56,2.53,2.33,3.932,3.732
NAMM,522092.1,2.104,2.707,2.507,2.454,2.254,3.762,3.562
NBY,779571.2142857143,1.95,2.873,2.673,2.689,2.489,4.288,4.088
NCI,6784519.0,0.696,2.155,1.955,1.673,1.473,2.016,1.816
NFE,9547816.15,0.6888,2.076,1.876,1.562,1.362,1.768,1.568
NIXX,1349125.9,0.68,2.794,2.594,2.578,2.378,4.039,3.839
NPT,1270628.35,3.8,2.149,1.949,1.665,1.465,1.998,1.798
NTLA,2578161.85,14.82,1.821,1.621,1.201,1.001,0.962,0.762
NXPL,212331.95,5.25,2.699,2.499,2.443,2.243,3.738,3.538
NXTT,3985222.7,1.89,2.038,1.838,1.507,1.307,1.646,1.446
OBAI,929918.85,0.7009,3.025,2.825,2.903,2.703,4.768,4.568
OLB,858783.75,0.4534,3.432,3.232,3.479,3.279,6.055,5.855
OLOX,508006.85,0.61,3.648,3.448,3.785,3.585,6.74,6.54
OMEX,15497161.5,1.05,1.911,1.711,1.328,1.128,1.245,1.045
ON,5400512.0,59.29999923706055,1.703,1.503,1.034,0.834,0.588,0.388
ONCO,17133395.8,0.7478,1.945,1.745,1.376,1.176,1.352,1.152
ONDS,53921147.85,9.78,1.689,1.489,1.014,0.814,0.543,0.343
ONFO,14106088.6,1.2403,1.907,1.707,1.323,1.123,1.234,1.034
ONMD,304642.3,0.89,3.787,3.587,3.982,3.782,7.179,6.979
OPTT,3386252.35,0.38,2.626,2.426,2.339,2.139,3.506,3.306
OPTX,1158073.45,9.16,1.983,1.783,1.43,1.23,1.475,1.275
ORBS,29631082.35,1.03,1.842,1.642,1.231,1.031,1.029,0.829
ORGO,1902757.7,2.4848,2.143,1.943,1.656,1.456,1.98,1.78
ORIS,360760.7,0.6001,4.107,3.907,4.434,4.234,8.191,7.991
PAVS,25832898.75,1.64,1.812,1.612,1.188,0.988,0.932,0.732
PBM,5528385.75,13.079099655151367,1.771,1.571,1.131,0.931,0.805,0.605
PFSA,12637709.45,0.6899,2.009,1.809,1.467,1.267,1.556,1.356
PHIO,216948.35,1.3,3.745,3.545,3.922,3.722,7.046,6.846
